Experiment_ID,Question_ID,Question,Answer,Retrieved_Rows,Retrieved_Document_Count,Grounding_Status
RAG-001,Q001,Which sales records describe WELIREG discussions related to renal cell carcinoma in territories where customer engagement or follow-up activity was also mentioned?,"Sales records in Source 1 (Row 16), Source 2 (Row 85), and Source 3 (Row 227) describe WELIREG discussions related to renal cell carcinoma that include customer engagement and follow-up activity in the territory insights.","[16, 85, 227]",3,ANSWER_GENERATED
RAG-001,Q002,"Find records where the sales discussion combines physician engagement, approved clinical information, and follow-up planning for a vaccine product.","Records in Source 1 (Row 19), Source 2 (Row 74), and Source 3 (Row 238) all include sales discussions that combine physician engagement (physician education), approved clinical information (approved indications, patient eligibility, efficacy, safety, monitoring, treatment pathway), and follow-up planning for the vaccine product GARDASIL 9.","[19, 74, 238]",3,ANSWER_GENERATED
RAG-001,Q003,Which records indicate regional or territory-level business opportunities while also referring to prescription trends and customer behavior?,"Records in Source 1 (Row 71), Source 2 (Row 160), and Source 3 (Row 299) all indicate regional or territory-level business opportunities while also referring to prescription trends and customer behavior.","[71, 160, 299]",3,ANSWER_GENERATED
RAG-001,Q004,Find records where customer discussions include market access or competitor comparison together with compliant promotional or scientific-literature activities.,"Records in Source 1 (Row 279), Source 2 (Row 16), and Source 3 (Row 80) all include customer discussions covering market access and competitor comparison together with compliant promotion and scientific literature sharing.","[279, 16, 80]",3,ANSWER_GENERATED
RAG-001,Q005,Which product is associated with Renal Cell Carcinoma?,"WELIREG is associated with Renal Cell Carcinoma. (Source 1 Row 16, Source 2 Row 85, Source 3 Row 26)","[16, 85, 26]",3,ANSWER_GENERATED
RAG-001,Q006,What is GARDASIL 9 associated with?,"GARDASIL 9 is associated with HPV Prevention. (Source 1, Row 19; Source 2, Row 75; Source 3, Row 97)","[19, 75, 97]",3,ANSWER_GENERATED
RAG-001,Q007,Which business unit does WELIREG belong to?,I don't know based on the provided context.,"[208, 267, 294]",3,INSUFFICIENT_CONTEXT
RAG-001,Q008,Which business unit does GARDASIL 9 belong to?,I don't know based on the provided context.,"[0, 82, 97]",3,INSUFFICIENT_CONTEXT
RAG-001,Q009,Which product is associated with HPV Prevention?,"GARDASIL 9 is associated with HPV Prevention. (Source 1, Row 0; Source 2, Row 82; Source 3, Row 122)","[0, 82, 122]",3,ANSWER_GENERATED
RAG-001,Q010,Which product is associated with Renal Cell Carcinoma?,"WELIREG is associated with Renal Cell Carcinoma. (Source 1 Row 16, Source 2 Row 85, Source 3 Row 26)","[16, 85, 26]",3,ANSWER_GENERATED
RAG-001,Q011,What information is available about WELIREG?,"WELIREG is used in VHL Disease. Clinical discussions about WELIREG covered approved indications, patient eligibility, efficacy, safety, monitoring, treatment pathway, and physician education. Sales discussions included customer questions, objections, market access, competitor comparison, follow-up planning, CRM updates, scientific literature sharing, compliant promotion, and future engagement opportunities. Territory insights involved prescription trends, customer behavior, and business aspects. (Sources 1, 2, 3)","[208, 260, 267]",3,ANSWER_GENERATED
RAG-001,Q012,What information is available about GARDASIL 9?,"GARDASIL 9 is used in HPV prevention. Clinical discussions cover approved indications, patient eligibility, efficacy, safety, monitoring, treatment pathway, and physician education. Sales discussions include customer questions, objections, market access, competitor comparison, follow-up planning, CRM updates, scientific literature sharing, compliant promotion, and future engagement opportunities. Territory insights include prescription trends and customer behavior. (Source 1, 2, 3)","[19, 74, 122]",3,ANSWER_GENERATED
RAG-001,Q013,Which regions contain WELIREG transactions?,I don't know based on the provided context.,"[208, 34, 64]",3,INSUFFICIENT_CONTEXT
RAG-001,Q014,Which sales representatives handled WELIREG transactions?,I don't know based on the provided context.,"[208, 263, 294]",3,INSUFFICIENT_CONTEXT
