Experiment_ID,Model,Provider,Question_ID,Rank,Score,Source_Row,Content_Preview
EMB-001,text-embedding-3-small,OpenAI,Q001,1,0.6298325324579743,102,"included prescription trends, customer behavior, business opportunities, formulary discussions, regional planning, call objectives, meeting outcomes, and action items. Product Overview: WELIREG is used in Renal Cell Carcinoma. Clinical discussion cov"
EMB-001,text-embedding-3-small,OpenAI,Q001,2,0.6298325324579743,132,"included prescription trends, customer behavior, business opportunities, formulary discussions, regional planning, call objectives, meeting outcomes, and action items. Product Overview: WELIREG is used in Renal Cell Carcinoma. Clinical discussion cov"
EMB-001,text-embedding-3-small,OpenAI,Q001,3,0.6298232180044534,13,"included prescription trends, customer behavior, business opportunities, formulary discussions, regional planning, call objectives, meeting outcomes, and action items. Product Overview: WELIREG is used in Renal Cell Carcinoma. Clinical discussion cov"
EMB-001,text-embedding-3-small,OpenAI,Q002,1,0.4576889137775946,9,"patient eligibility, efficacy, safety, monitoring, treatment pathway, and physician education. Sales discussion included customer questions, objections, market access, competitor comparison, follow-up planning, CRM updates, scientific literature shar"
EMB-001,text-embedding-3-small,OpenAI,Q002,2,0.4576889137775946,154,"patient eligibility, efficacy, safety, monitoring, treatment pathway, and physician education. Sales discussion included customer questions, objections, market access, competitor comparison, follow-up planning, CRM updates, scientific literature shar"
EMB-001,text-embedding-3-small,OpenAI,Q002,3,0.4576889137775946,181,"patient eligibility, efficacy, safety, monitoring, treatment pathway, and physician education. Sales discussion included customer questions, objections, market access, competitor comparison, follow-up planning, CRM updates, scientific literature shar"
EMB-001,text-embedding-3-small,OpenAI,Q003,1,0.35703296722690725,9,"patient eligibility, efficacy, safety, monitoring, treatment pathway, and physician education. Sales discussion included customer questions, objections, market access, competitor comparison, follow-up planning, CRM updates, scientific literature shar"
EMB-001,text-embedding-3-small,OpenAI,Q003,2,0.35703296722690725,154,"patient eligibility, efficacy, safety, monitoring, treatment pathway, and physician education. Sales discussion included customer questions, objections, market access, competitor comparison, follow-up planning, CRM updates, scientific literature shar"
EMB-001,text-embedding-3-small,OpenAI,Q003,3,0.35703296722690725,271,"patient eligibility, efficacy, safety, monitoring, treatment pathway, and physician education. Sales discussion included customer questions, objections, market access, competitor comparison, follow-up planning, CRM updates, scientific literature shar"
EMB-001,text-embedding-3-small,OpenAI,Q004,1,0.2810243290979967,11,"patient eligibility, efficacy, safety, monitoring, treatment pathway, and physician education. Sales discussion included customer questions, objections, market access, competitor comparison, follow-up planning, CRM updates, scientific literature shar"
EMB-001,text-embedding-3-small,OpenAI,Q004,2,0.2810243290979967,53,"patient eligibility, efficacy, safety, monitoring, treatment pathway, and physician education. Sales discussion included customer questions, objections, market access, competitor comparison, follow-up planning, CRM updates, scientific literature shar"
EMB-001,text-embedding-3-small,OpenAI,Q004,3,0.2810243290979967,181,"patient eligibility, efficacy, safety, monitoring, treatment pathway, and physician education. Sales discussion included customer questions, objections, market access, competitor comparison, follow-up planning, CRM updates, scientific literature shar"
EMB-002,text-embedding-3-large,OpenAI,Q001,1,0.6905974562706163,26,"Notes: Product Overview: WELIREG is used in Renal Cell Carcinoma. Clinical discussion covered approved indications, patient eligibility, efficacy, safety, monitoring, treatment pathway, and physician education. Sales discussion included customer ques"
EMB-002,text-embedding-3-large,OpenAI,Q001,2,0.6905974562706163,283,"Notes: Product Overview: WELIREG is used in Renal Cell Carcinoma. Clinical discussion covered approved indications, patient eligibility, efficacy, safety, monitoring, treatment pathway, and physician education. Sales discussion included customer ques"
EMB-002,text-embedding-3-large,OpenAI,Q001,3,0.6905974562706163,285,"Notes: Product Overview: WELIREG is used in Renal Cell Carcinoma. Clinical discussion covered approved indications, patient eligibility, efficacy, safety, monitoring, treatment pathway, and physician education. Sales discussion included customer ques"
EMB-002,text-embedding-3-large,OpenAI,Q002,1,0.44720669752499564,19,"included prescription trends, customer behavior, business opportunities, formulary discussions, regional planning, call objectives, meeting outcomes, and action items. Product Overview: GARDASIL 9 is used in HPV Prevention. Clinical discussion covere"
EMB-002,text-embedding-3-large,OpenAI,Q002,2,0.44720669752499564,288,"included prescription trends, customer behavior, business opportunities, formulary discussions, regional planning, call objectives, meeting outcomes, and action items. Product Overview: GARDASIL 9 is used in HPV Prevention. Clinical discussion covere"
EMB-002,text-embedding-3-large,OpenAI,Q002,3,0.4471745816264303,293,"included prescription trends, customer behavior, business opportunities, formulary discussions, regional planning, call objectives, meeting outcomes, and action items. Product Overview: GARDASIL 9 is used in HPV Prevention. Clinical discussion covere"
EMB-002,text-embedding-3-large,OpenAI,Q003,1,0.38108128463764723,16,"eligibility, efficacy, safety, monitoring, treatment pathway, and physician education. Sales discussion included customer questions, objections, market access, competitor comparison, follow-up planning, CRM updates, scientific literature sharing, com"
